author,author_link,category,date,title
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"October 14, 2020",Asynchronous Javascript: From Promises to Async/Await
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"December 08, 2009",Production Rails Tuning with Passenger: PassengerMaxProcesses
Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,Engineering,"October 20, 2020",Continuous Integration vs. Continuous Deployment
Jake Stinson,https://scoutapm.com/blog/author/jake-stinson,Engineering,"October 06, 2020",Log Analysis: What Is It and How Does It Work?
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,Performance,"July 31, 2014",Slow Server? This is the Flow Chart You're Looking For
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"August 23, 2012",Removing deadweight - cleaning up our Rails app
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"May 17, 2015",Rails App Monitoring (APM) with StatsD
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"March 16, 2015",Monitoring Docker with docker-scout
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"December 12, 2020",A Primer on Ruby Yield and Blocks
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"April 28, 2016",Getting down with Stackprof: how we added N+1 query detection to Scout
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"May 31, 2016",3 pleasantly surprising PostgreSQL Indexing tricks
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"October 06, 2017",Finding fast (but expensive) database queries
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"June 14, 2016",A Six-Pronged Rails Performance Philosophy
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"October 21, 2017",DataDog vs. Scout: which is right for you?
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"May 09, 2016",Rails Performance and the root of all evil
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"December 22, 2017",Real User Monitoring with Raygun
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"December 15, 2020",A Guide to Using Nested Routes in Ruby
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"October 27, 2017",A 5-point Rails app performance audit
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"June 11, 2020",How to Convert a String to a Number in PHP
Matt Sanders,https://scoutapm.com/blog/author/matt-sanders,Engineering,"July 02, 2020",The Most Popular Python Web Frameworks in 2021
Matthew Thompson,https://scoutapm.com/blog/author/matthew-thompson,Engineering,"May 29, 2020","PHP Memory Leaks, How to Find and Fix Them"
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"July 09, 2020",How to Create a Python Stack
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"July 17, 2020",How to Use PHP Include and Require Statements
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"August 07, 2020",Node.js Logging: A How-to Guide
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"August 20, 2020",Node.js Architecture and 12 Best Practices for Node.js Development
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"June 25, 2020",How to Enable PHP Error Reporting
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Performance,"March 15, 2018",Rollbar+Scout: a legit New Relic alternative
Adam Johnson,https://scoutapm.com/blog/author/adam-johnson,Engineering,"June 19, 2020",Better Python Decorators with Wrapt
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Python,"April 30, 2018",Finding and fixing N+1 queries in Django apps
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"May 04, 2021",Kubernetes: Weighing Advantages and Disadvantages
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Python,"May 29, 2018",Django Application Monitoring (APM) with StatsD
Gautam Prajapati,https://scoutapm.com/blog/author/gautam-prajapati,Engineering,"February 26, 2020",Migrating from Python 2 to 3: Automated Tools and Strategies
Adam Johnson,https://scoutapm.com/blog/author/adam-johnson,Engineering,"July 24, 2020",A Guide to Python Lambda Functions
PJ Hagerty,https://scoutapm.com/blog/author/pj-hagerty,Engineering,"March 17, 2020",Programmatically Adding Laravel Middleware
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"March 24, 2020",Tutorial: Log to Console in PHP
Dan Moore,https://scoutapm.com/blog/author/dan-moore,Engineering,"April 23, 2020",How to Use Lambdas in Ruby
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"May 06, 2021",The Essential Guide to PHP Error Logging
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"May 01, 2020",PHP Json_encode: Serialize PHP Objects to JSON
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"April 01, 2020",Go Fast: Getting Started with Sanic for Python
Dan Moore,https://scoutapm.com/blog/author/dan-moore,Engineering,"May 07, 2020",Ruby Garbage Collection | Memory Management
David Tidmarsh,https://scoutapm.com/blog/author/david-tidmarsh,Engineering,"April 08, 2020",Elixir GenServers: Overview and Tutorial
Thomas Finch,https://scoutapm.com/blog/author/thomas-finch,Engineering,"May 22, 2020",A Tour of 7 Popular Ruby Frameworks in 2021
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,Engineering,"September 27, 2019","Birds of a Fiber: A look at Falcon, a modern asynchronous web server for Ruby"
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"November 12, 2019",PHP Advanced Exceptions Tutorial
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"May 11, 2021",Concrete Steps to Reducing MTTR
Pranam Lashkari,https://scoutapm.com/blog/author/pranam-lashkari,Engineering,"November 25, 2019",Memory Management in Python
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"November 19, 2019",Exception Handling in Ruby
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"September 13, 2019",Understanding page faults and memory swap-in/outs: when should you worry?
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"May 14, 2020",Control Structures in PHP: Loop Types Explained
Tim Grossman,https://scoutapm.com/blog/author/tim-grossman,Engineering,"November 25, 2019",Python Protocol Buffers
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,Engineering,"May 18, 2021",Alternatives to Using GitHub in 2021
Erik Jacobsen,https://scoutapm.com/blog/author/erik-jacobsen,Engineering,"June 10, 2019",Prometheus and Docker: Monitoring Your Environment
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"April 19, 2022",Best PHP Monitoring Tools on the Market
Satwik Kansal,https://scoutapm.com/blog/author/satwik-kansal,Engineering,"January 06, 2020",Python vs. Ruby
Gautam Prajapati,https://scoutapm.com/blog/author/gautam-prajapati,Engineering,"November 29, 2019",A Comprehensive Guide to migrating from Python 2(Legacy) to Python 3
Minhajuddin Khaja,https://scoutapm.com/blog/author/minhajuddin-khaja,Engineering,"June 17, 2019","How to use Mint, an awesome HTTP library for Elixir - Part 02"
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,Performance,"November 09, 2021",New Relic vs. Sentry vs. Scout
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,Engineering,"June 18, 2019",Understanding Heroku Error Codes with Scout APM
Satwik Kansal,https://scoutapm.com/blog/author/satwik-kansal,Engineering,"January 24, 2020",Python vs. Java: Comparing Two Popular Programming Languages
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,Engineering,"July 05, 2019",Continuous Deployment Tools
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,Engineering,"July 08, 2019",Unicorn vs. Puma vs. Passenger: which app server is right for you?
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"February 04, 2020",Python Flask Tutorial - Getting Started with Flask
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,Engineering,"June 18, 2019","Making sense of ActiveRecord joins, includes, preload, and eager_load"
Satwik Kansal,https://scoutapm.com/blog/author/satwik-kansal,Engineering,"July 08, 2019",Identifying bottlenecks and optimizing performance in a Python codebase
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"May 04, 2019",Rails::API vs. Sinatra vs. Grape: which Ruby microframework is right for you?
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,Engineering,"July 09, 2019",What’s new in Rails 6?
Minhajuddin Khaja,https://scoutapm.com/blog/author/minhajuddin-khaja,Engineering,"May 15, 2019","How to use Mint, an awesome HTTP library for Elixir - Part 01"
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,Engineering,"May 16, 2019",Free memory on Linux: free -m vs /proc/meminfo
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,Engineering,"May 24, 2019",Building Docker Containers for our Rails Apps
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,Engineering,"May 20, 2019",8 Things You Should Know About Docker Containers
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,Engineering,"July 19, 2019",Monitoring Apdex with Scout APM
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,Engineering,"June 05, 2019",Debugging with Rails Logger
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"June 05, 2019",Which Ruby background job framework is right for you?
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,Engineering,"June 03, 2019",Understanding Linux CPU stats
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,Engineering,"July 28, 2019",Understanding Linux CPU Load - when should you be worried?
Matthew Chigira,https://scoutapm.com/blog/author/matthew-chigira,Engineering,"May 31, 2019",Container Orchestration in 2019
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"June 01, 2021",How to Optimize Docker Performance
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"May 08, 2019",The danger of Rails.env.production?
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 31, 2018",AWS Disaster Recovery: Configuring a Read Replica and a Multi-AZ
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"May 25, 2021",A Guide to Application Monitoring Best Practices
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"February 13, 2018",Deploying Faktory to AWS Fargate
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"May 24, 2018",Finding slow ActiveRecord queries with Scout
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"December 20, 2018",Omnibus Tutorial: Package a standalone Ruby gem
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"April 10, 2018",Why put Rust in our Python Monitoring agent?
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"March 15, 2018","Setting up a Rails app for CodeBuild, CodeDeploy, and CodePipeline on AWS"
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"July 12, 2018",Part I: How not to structure your database-backed web apps
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,Engineering,"January 20, 2019",What you need to know about Ruby Interpreter
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"February 20, 2018",Deploying a Faktory worker to AWS Fargate
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,Engineering,"April 17, 2019","Restricting Process CPU Usage Using nice, cpulimit, and cgroups"
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"July 29, 2021",Logging and Monitoring: A Match Made in Software Heaven
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 02, 2018",Deploying to AWS Part I: Docker Rails Deployment
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"December 30, 2017",Observability: the new wave or another buzzword?
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,Engineering,"August 05, 2021",8 Dynatrace Alternatives to Consider in 2021
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"August 12, 2021",How to Retry in Ruby
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Performance,"November 11, 2021",6 Rollbar Alternatives to Consider in 2021
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 08, 2018",How to Deploy a Rails App to Amazon AWS Using Fargate (Part II)
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 16, 2018",Deploying to AWS Part IV: Performance monitoring with Scout
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 10, 2018",Deploying to AWS Part III: Log aggregation
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 17, 2018",Tutorial: Distributed Tracing in Ruby with OpenTracing
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"August 03, 2021",Getting Started with Docker: A Tutorial
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 19, 2018","Deploying to AWS Part V: the final punch list (load balancer, CDN, SSL)"
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 15, 2018",OpenTracing Tutorial: Using Flask Python Requests
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 26, 2018",AWS Disaster Recovery: an overview and a backups tutorial
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,Performance,"January 11, 2022",How Automated Application Monitoring Saves Time and Money
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"January 16, 2018",A tour of Python monitoring tools
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,Engineering,"August 17, 2021",Dynatrace vs. SolarWinds vs. Scout
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,Performance,"January 29, 2022",6 Alternatives to Sentry Error Monitoring
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"October 12, 2021",A Developer’s Guide to Web Application Architecture
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"October 14, 2021",A Primer on Prometheus Metrics
Arwin Lashawn,https://scoutapm.com/blog/author/arwin-lashawn,Engineering,"October 19, 2021",What is Full Cycle Software Development?
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"September 25, 2014",From Ruby to Go: a rewrite for the future
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,Engineering,"October 08, 2014",Understanding disk inodes
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"June 22, 2015",An intro to the Docker Stats API
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"December 09, 2015",4 ways to get the most out of your Rails logs
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"December 19, 2014",From MySQL full-text search to Elasticsearch
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"April 12, 2016",3 Git Productivity Hacks
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"December 08, 2016",Elixir foundations for Ruby Devs: transforming data
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"March 07, 2016",Java for Rubyists
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"May 30, 2017",Monitoring GenServer calls with Scout
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"October 13, 2017",Visualizing Rails logs With Jupyter Notebook
Dinesh Surapuraju,https://scoutapm.com/blog/author/dinesh-surapuraju,Performance,"February 01, 2022",Python Performance Measurement Tools
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,Engineering,"November 16, 2021",.NET Core vs. .NET Framework: Side-by-Side Comparison
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,Engineering,"October 27, 2021",What are Script Errors and How Can We Address Them?
Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,Performance,"April 14, 2022",Application Performance Monitoring vs Application Performance Observability
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"October 21, 2021",The Developer’s Guide to SOLID Design Principles
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,Engineering,"February 26, 2010",MongoDB Slow Queries Monitoring
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,Engineering,"September 07, 2010",RVM and cron in production
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"October 06, 2010",Determining free memory on Linux
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,Engineering,"August 19, 2010",MySQL Tuning Tips with Scout
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,Engineering,"May 10, 2011",The Short and Sweet SSL How-to
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"September 15, 2010",Embedded Customer Support With Rapportive
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"March 30, 2011",Detect and Fix HAProxy+Apache+Passenger Queue Backlogs
Derek Haynes,https://scoutapm.com/blog/author/derek-haynes,Engineering,"July 25, 2013",Understanding CPU Steal Time - when should you be worried?
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"November 16, 2021",Monolithic vs. Microservices Architecture: A Side-by-Side Comparison
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"September 24, 2013",From MySQL+MMM to MariaDB+Galera Cluster: A High Availability Makeover
Andre Lewis,https://scoutapm.com/blog/author/andre-lewis,Engineering,"February 01, 2010",Production Server Sysadmin Essentials
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,Engineering,"December 16, 2021",Express vs. Hapi: A Head-to-Head Comparison
Doug Breaker,https://scoutapm.com/blog/author/doug-breaker,Engineering,"August 28, 2013",Docker: Git for deployment
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"January 13, 2022",How to Use the Delegate Method in Rails
Dave Anderson,https://scoutapm.com/blog/author/dave-anderson,Engineering,"March 07, 2022",OpenTelemetry and Distributed Tracing in JavaScript
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"January 19, 2022",SOA vs. Microservices: A Head-to-Head Comparison
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"December 07, 2021",Encapsulation in OOP: Definition and Examples
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,Engineering,"January 20, 2022",End-User Monitoring: How it Can Impact Your Business
Kumar Harsh,https://scoutapm.com/blog/author/kumar-harsh,Engineering,"March 19, 2022",How to Manage Ruby Memory Usage
Scout APM ,https://scoutapm.com/blog/author/scout-apm,Engineering,"April 05, 2022",What is Cloud-Native Monitoring?
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,Engineering,"March 29, 2022",Getting Started with Prometheus and Grafana
Special contributor to Scout APM,https://scoutapm.com/blog/author/special-contributor-to-scout-apm,Engineering,"January 06, 2022",Azure vs. AWS vs. GCP: A Direct Comparison
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,Engineering,"December 14, 2021","How to Find, Fix, and Prevent Node.js Memory Leaks"
Mukul Khanna,https://scoutapm.com/blog/author/mukul-khanna,Engineering,"March 17, 2022",Proper Python Instrumentation: 5 Things to Keep In Mind
Ganesh Mani,https://scoutapm.com/blog/author/ganesh-mani,Performance,"January 27, 2022",Stackify vs. New Relic vs. Scout | APM Tool Comparison
Prince Sinha,https://scoutapm.com/blog/author/prince-sinha,Performance,"September 15, 2022",Current State of AIOps Technology
